hora1,hora2,hora3,hora4,hora5,hora6,hora7,hora8,hora9,hora10,hora11,hora12,hora13,STO_PESO_REAL,overstock,festivo,dsemana_J,dsemana_L,dsemana_M,dsemana_S,dsemana_V,dsemana_X
18.4,34.85,35.48,41.46,28.38,27.63,15.02,13.64,22.259999999999998,29.92,47.55,29.88,8.17,100.89,0,0,0,1,0,0,0,0
19.169999999999998,19.990000000000002,30.380000000000003,30.06,33.31,18.96,17.97,12.87,16.34,11.850000000000001,1.54,0.0,0.0,193.298,1,0,0,0,1,0,0,0
19.5,34.37,46.64,45.52,33.32,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.428,1,0,0,0,0,0,0,1
38.95,30.94,36.76,46.62,36.54,34.17,18.28,15.790000000000001,5.8,26.490000000000002,29.8,13.950000000000001,3.5300000000000002,56.712,0,0,0,0,0,0,1,0
20.310000000000002,32.88,29.04,40.6,30.39,7.72,1.01,0.0,1.04,0.0,0.0,0.0,0.0,127.732,0,0,0,0,0,1,0,0
21.07,29.8,42.62,50.18,35.51,19.14,14.41,19.78,23.18,42.65,32.04,25.03,2.74,94.23,0,0,0,1,0,0,0,0
27.21,20.98,34.39,30.41,28.91,20.97,11.629999999999999,11.89,11.83,28.150000000000002,8.01,1.31,0.0,184.954,0,0,0,0,1,0,0,0
31.71,19.68,27.07,26.08,30.87,24.0,9.67,6.22,15.81,16.79,4.93,0.0,0.0,115.774,1,0,0,0,0,0,0,1
19.990000000000002,18.6,20.369999999999997,23.39,25.19,17.97,13.79,7.49,14.75,23.31,18.01,18.3,3.92,76.07,0,0,1,0,0,0,0,0
17.8,20.94,29.12,34.26,24.21,12.41,21.84,16.79,12.71,0.0,0.76,0.0,0.0,115.938,1,0,0,0,0,0,1,0
22.3,40.87,36.8,15.96,0.19,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.738,0,0,0,0,0,1,0,0
32.46,22.54,30.82,37.75,28.22,25.49,13.08,23.73,14.6,42.06,40.3,22.77,3.85,46.722,1,0,0,1,0,0,0,0
16.35,15.82,29.59,29.71,28.509999999999998,15.93,8.93,5.09,15.5,33.95,26.22,13.26,0.7,77.852,0,0,0,0,1,0,0,0
20.830000000000002,27.47,19.09,32.12,18.58,4.32,11.43,9.15,24.28,24.29,22.11,12.190000000000001,2.01,60.514,0,0,0,0,0,0,0,1
